market,game,set_code,tier,asin,title,price,old_price,promo,url
ES,One Piece,OP15,display,B0GV7VF1PX,OP15 Adventure on KAMI'S Island Booster Box English OP-15 Booster Box Display Factory Sealed for OP15 One Piece Cards English TCG (24 paquetes) + tarjeta personalizada TCG Fabrik Don,391.34,,False,https://www.amazon.es/Adventure-TCG-paquetes-personalizada-Fabrik/dp/B0GV7VF1PX/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Ac-04j2wAo4h7NbMm2C6WQwABQQInMIc0Ow7qfiU0bQjNwJSCYto-305H6AFWRNjOeCQ1pHRJPa2kg8ANIjlon7tVCOz_XkMSgPleMCr7MKS_3bTPn6irxXB7LWpvqAN5jLhB8xyop67ymLyle4YIQZyfaA1h19iJ7clFfTIwJqlvaCZQl919IQvxHtV35gA779VPke6CKASh4pt6olvc2IXoFFcHN24mFrRTphuFJuFusH7f_UgYgw0ViDSVhCp2IFQ4GlOKUx7thDuswcQududSHuAA-XJ7zbD9DFWLXI.pu6HywpWRfn7ghzoKxaOFJ8DlEWm_pmoKjhvggmxpmA&dib_tag=se&keywords=one+piece+booster+box&qid=1786647459&sr=8-1
ES,Pokemon,,display,B0GSJMQ3QQ,Pokémon TCG: Mega Evolution—Chaos Rising Booster Display,249.64,,False,https://www.amazon.es/Pok%C3%A9mon-TCG-Evolution-Chaos-Booster-Display/dp/B0GSJMQ3QQ/ref=sr_1_15?dib=eyJ2IjoiMSJ9.42ItrkkMpyGQsS9-5ZFPfRMtdF2a1WRpsUp59GfwqGgqXQgR2m8AuTpq_fbvPp6EIAdzMj-I09V5A7NYICphtSoBa2FqKGvRxqWCsNICZyS1Y-GxXhWBKGXxphp-SA0RsoT0J3sDlLvQscBAXfGd3DYDFJUR2yh96Y_FYD7q2p7emJ3yua24lxppY0wMBWo8LEofNOnuA4Pv12b6KS3uV-I7JmsTwYWUcIjDfyrYAsSlw-W739dwyeXhRxK9YvjbGA40uenmvs_eN93Fihd0BHO-m1yEKTP6vfUz4YF_790.QSuFu58qOIfmWLDkhGJV3_TvcZNWi4WoI9MusFLmUg0&dib_tag=se&keywords=pokemon+booster+box&qid=1786647547&sr=8-15
ES,Pokemon,,display,B0FHPKXRYC,Pokémon TCG: Mega Evolution Enhanced Booster Display Box,380.34,,False,https://www.amazon.es/Pok%C3%A9mon-TCG-Evolution-Enhanced-Booster/dp/B0FHPKXRYC/ref=sr_1_22?dib=eyJ2IjoiMSJ9.42ItrkkMpyGQsS9-5ZFPfRMtdF2a1WRpsUp59GfwqGgqXQgR2m8AuTpq_fbvPp6EIAdzMj-I09V5A7NYICphtSoBa2FqKGvRxqWCsNICZyS1Y-GxXhWBKGXxphp-SA0RsoT0J3sDlLvQscBAXfGd3DYDFJUR2yh96Y_FYD7q2p7emJ3yua24lxppY0wMBWo8LEofNOnuA4Pv12b6KS3uV-I7JmsTwYWUcIjDfyrYAsSlw-W739dwyeXhRxK9YvjbGA40uenmvs_eN93Fihd0BHO-m1yEKTP6vfUz4YF_790.QSuFu58qOIfmWLDkhGJV3_TvcZNWi4WoI9MusFLmUg0&dib_tag=se&keywords=pokemon+booster+box&qid=1786647547&sr=8-22
ES,Pokemon,,display,B0GG16Q4X1,Pokémon TCG: Mega Evolution Order Booster Display Box,223.22,,False,https://www.amazon.es/Pok%C3%A9mon-TCG-Evolution-Booster-Display/dp/B0GG16Q4X1/ref=sr_1_27?dib=eyJ2IjoiMSJ9.42ItrkkMpyGQsS9-5ZFPfRMtdF2a1WRpsUp59GfwqGgqXQgR2m8AuTpq_fbvPp6EIAdzMj-I09V5A7NYICphtSoBa2FqKGvRxqWCsNICZyS1Y-GxXhWBKGXxphp-SA0RsoT0J3sDlLvQscBAXfGd3DYDFJUR2yh96Y_FYD7q2p7emJ3yua24lxppY0wMBWo8LEofNOnuA4Pv12b6KS3uV-I7JmsTwYWUcIjDfyrYAsSlw-W739dwyeXhRxK9YvjbGA40uenmvs_eN93Fihd0BHO-m1yEKTP6vfUz4YF_790.QSuFu58qOIfmWLDkhGJV3_TvcZNWi4WoI9MusFLmUg0&dib_tag=se&keywords=pokemon+booster+box&qid=1786647547&sr=8-27
ES,Pokemon,,display,B0CMZS84KP,Pokémon - Expansion Pack: Cyber Judge Booster Box,117.84,,False,https://www.amazon.es/Pok%C3%A9mon-Scarlet-Expansion-versi%C3%B3n-japonesa/dp/B0CMZS84KP/ref=sr_1_20?dib=eyJ2IjoiMSJ9.P9Rmzz-M5xByH47INM1lNz9SFVvbC2OXxf0vEsLGnCrYBSbZzduFqua4CdfwQpiJRQ6gMWTnc1YVcR90jTzYtq1SCBpv3cgsZkFIe6u9Gp-Rbkqxf9gE5ack0cAjz1UDV-_6EX_1X5ePPFHqd8Xup11knlyMcF3GCTshlAXlZ4zNW4jm5cZBi0KHP0j4b0ZwXcxSuFkaFedHh3dUyvibNPweiFjor5v67BX_sYVLwBoqufCTEYL1eJJPw8-nGS2qGl9q01cBGN9HnJl6kGZ2ZHO-m1yEKTP6vfUz4YF_790.VqsCXdV1AHRpgja_ZZU_mTbjVSUNp_GKogyTFj50DMc&dib_tag=se&keywords=pokemon+coffret+dresseur&qid=1786647637&sr=8-20
ES,Pokemon,,display,B0FJS3S1JL,Pokemon Wild Force Booster Box Coreana SV5K - Caja de Refuerzo Sellada,90.12,,False,https://www.amazon.es/Pokemon-Wild-Force-refuerzo-coreana/dp/B0FJS3S1JL/ref=sr_1_51?dib=eyJ2IjoiMSJ9.g6cmJj76wuMHXqdLA6wzHC9zvwwCTUhPdf5EuLSfq-qrpqiwG_LRYfNPS78qRfdbJ0w0-JqxDjsWkBdfcNeLGMzWX--_BSkqHiYeT6Um9w_ju7pTnU-kBABo_4fEJ0nItPPF6a-FfbrvIxhW2ExqqQuB7v9D_0ImMKzje-x91AuS_pTEWI9B2GFxuWKD3XyJnlYWW9i9SqcSios34EQSXB3blLKsYJ9si4lkSsH1NAqdq8OMX9UbpG52QPF7c7hCCTJ_bSBuiNBxNR2Kmm9_zHORCoUgxGOdfdhhGDPUWxQ.7HL5iAG32k03jQuflgppaQBJO89xp3kc-1A-LUpGY6Y&dib_tag=se&keywords=pokemon+booster+box&qid=1786647559&sr=8-51&xpid=3TzS82SoA70qA
ES,Pokemon,,display,B0GZ44CXS4,Pokemon Gem Vol. 5 (Volumen 5) CBB5C | Chino simplificado | Booster Box | Más de 15 años,78.37,,False,https://www.amazon.es/Pokemon-Volumen-CBB5C-simplificado-Booster/dp/B0GZ44CXS4/ref=sr_1_40?dib=eyJ2IjoiMSJ9.42ItrkkMpyGQsS9-5ZFPfRMtdF2a1WRpsUp59GfwqGgqXQgR2m8AuTpq_fbvPp6EIAdzMj-I09V5A7NYICphtSoBa2FqKGvRxqWCsNICZyS1Y-GxXhWBKGXxphp-SA0RsoT0J3sDlLvQscBAXfGd3DYDFJUR2yh96Y_FYD7q2p7emJ3yua24lxppY0wMBWo8LEofNOnuA4Pv12b6KS3uV-I7JmsTwYWUcIjDfyrYAsSlw-W739dwyeXhRxK9YvjbGA40uenmvs_eN93Fihd0BHO-m1yEKTP6vfUz4YF_790.QSuFu58qOIfmWLDkhGJV3_TvcZNWi4WoI9MusFLmUg0&dib_tag=se&keywords=pokemon+booster+box&qid=1786647547&sr=8-40
ES,Pokemon,,display,B0F6V99BFV,Pokemon TCG Scarlet & Violet Journey Together Booster Packs x4 | Cada uno contiene 10 cartas Pokémon | Perfecto para los fans de Pokemon Journey Together Booster Box | Titan Authenticated,54.3,,False,https://www.amazon.es/Together-contiene-Perfecto-Titan-Authenticated/dp/B0F6V99BFV/ref=sr_1_54?dib=eyJ2IjoiMSJ9.g6cmJj76wuMHXqdLA6wzHC9zvwwCTUhPdf5EuLSfq-qrpqiwG_LRYfNPS78qRfdbJ0w0-JqxDjsWkBdfcNeLGMzWX--_BSkqHiYeT6Um9w_ju7pTnU-kBABo_4fEJ0nItPPF6a-FfbrvIxhW2ExqqQuB7v9D_0ImMKzje-x91AuS_pTEWI9B2GFxuWKD3XyJnlYWW9i9SqcSios34EQSXB3blLKsYJ9si4lkSsH1NAqdq8OMX9UbpG52QPF7c7hCCTJ_bSBuiNBxNR2Kmm9_zHORCoUgxGOdfdhhGDPUWxQ.7HL5iAG32k03jQuflgppaQBJO89xp3kc-1A-LUpGY6Y&dib_tag=se&keywords=pokemon+booster+box&qid=1786647559&sr=8-54&xpid=3TzS82SoA70qA
ES,Pokemon,,display,B0H6YDC2CQ,Pokemon TCG Terastal Gathering CSV9.5C Booster Box (chino) -10 paquetes,159.04,,False,https://www.amazon.es/Pokemon-Terastal-Gathering-CSV9-5C-paquetes/dp/B0H6YDC2CQ/ref=sr_1_88?dib=eyJ2IjoiMSJ9.g6cmJj76wuMHXqdLA6wzHC9zvwwCTUhPdf5EuLSfq-qrpqiwG_LRYfNPS78qRfdbJ0w0-JqxDjsWkBdfcNeLGMzWX--_BSkqHiYeT6Um9w_ju7pTnU-kBABo_4fEJ0nItPPF6a-FfbrvIxhW2ExqqQuB7v9D_0ImMKzje-x91AuS_pTEWI9B2GFxuWKD3XyJnlYWW9i9SqcSios34EQSXB3blLKsYJ9si4lkSsH1NAqdq8OMX9UbpG52QPF7c7hCCTJ_bSBuiNBxNR2Kmm9_zHORCoUgxGOdfdhhGDPUWxQ.7HL5iAG32k03jQuflgppaQBJO89xp3kc-1A-LUpGY6Y&dib_tag=se&keywords=pokemon+booster+box&qid=1786647559&sr=8-88&xpid=3TzS82SoA70qA
ES,Pokemon,,display,B0CMF2R9WK,Pokemon Card Sword & Shield Legendary Heartbeat (Vivid Voltage) Booster Box/Versión coreana,89.1,,False,https://www.amazon.es/Pokemon-Legendary-Heartbeat-Voltage-Booster/dp/B0CMF2R9WK/ref=sr_1_102?dib=eyJ2IjoiMSJ9.To08sTWYaRDBRg3P_YRZgjWZRPdDMzzUtEa7yOpSI5_sx3VshHBrARBVkUtC2Y2umuAcGJIPaBx39QgaV9Uw1w7yfEpbhFOIkjbUust4j3974vxe24zrhpMFzN5GcUTuiC-F1e6Z7oVtBgcAQpNH9H3oEIvxiPdbUB5jmkqHf7zjyw4o57t_-mYqI_U95Xqnun2yX1jmRuDUxRCQklmgH6mnfFbK3He4OQ1_9MEWhE88cU9EgxPEdSi6tsKvGmbg4dz8SjO3xQJ6wm0EMDvll3Ek89l6VOiAOqb_bZiuL5Y.ggJrWi9MLI5PWYzFPuT6QcHdZ9oqEBOmZvrzFvu-L6g&dib_tag=se&keywords=pokemon+booster+box&qid=1786647572&sr=8-102&xpid=3TzS82SoA70qA
